ts.ts/tt.tt,ID
0.00000,34B_170
0.31313,34B_170
0.66667,34B_170
0.16162,34B_170
0.00000,34B_170
1.00000,34B_170
1.01010,34B_170
1.01010,34B_170
0.58586,34B_170
0.00000,34B_170
0.00000,34B_170
0.00000,34B_170
0.16162,34B_170
0.98990,34B_170
0.00000,34B_170
0.00000,34B_170
0.00000,34B_170
0.66667,34B_197
0.12121,34B_197
1.01010,34B_197
0.56566,34B_197
0.00000,34B_197
0.00000,34B_197
0.08081,34B_197
0.00000,34B_197
0.09091,34B_197
1.01010,34B_197
1.01010,34B_197
1.01010,34B_197
0.66667,34B_197
0.00000,34B_197
0.00000,34B_197
0.00000,34B_197
0.00000,34B_197
0.00000,34B_197
1.01010,34B_197
0.95960,34B_197
0.00000,34B_197
0.00000,34B_197
0.06522,34B_2
0.00000,34B_2
0.00000,34B_2
0.50505,34B_2
1.01010,34B_2
1.01010,34B_2
1.01010,34B_2
1.01010,34B_2
0.56566,34B_2
0.00000,34B_2
0.38384,34B_2
1.01010,34B_2
0.05051,34B_2
0.00000,34B_2
0.00000,34B_2
0.90909,34B_2
1.01010,34B_2
1.01010,34B_2
0.15152,34B_2
0.00000,34B_2
0.00000,34B_2
0.10526,34B_270
0.00000,34B_270
0.18182,34B_270
1.01010,34B_270
0.69697,34B_270
0.13131,34B_270
0.04040,34B_270
0.23232,34B_270
0.00000,34B_270
0.00000,34B_270
0.00000,34B_270
0.00000,34B_270
0.00000,34B_270
0.00000,34B_270
0.06316,34B_297
1.00000,34B_297
1.01010,34B_297
1.01010,34B_297
0.56566,34B_297
0.00000,34B_297
0.00000,34B_297
0.67677,34B_297
0.36364,34B_297
0.00000,34B_297
0.41414,34B_297
1.01010,34B_297
1.01010,34B_297
0.58586,34B_297
0.00000,34B_297
0.30303,34B_297
0.08081,34B_297
0.00000,34B_297
0.00000,34B_297
0.32323,34B_297
0.00000,34B_297
0.00000,34B_297
0.13636,34B_304
0.50505,34B_304
0.00000,34B_304
0.00000,34B_304
0.53535,34B_304
0.36364,34B_304
0.00000,34B_304
0.22222,34B_304
1.01010,34B_304
1.01010,34B_304
0.59596,34B_304
0.00000,34B_304
0.10101,34B_304
0.09091,34B_304
0.00000,34B_304
0.00000,34B_304
0.14141,34B_304
0.00000,34B_304
0.00000,34B_304
0.00000,34B_304
0.50725,34B_305
0.00000,34B_305
0.00000,34B_305
0.40404,34B_305
0.37374,34B_305
0.00000,34B_305
0.02020,34B_305
1.01010,34B_305
1.01010,34B_305
0.60606,34B_305
0.00000,34B_305
0.00000,34B_305
0.00000,34B_305
0.00000,34B_305
0.00000,34B_305
0.00000,34B_305
0.00000,34B_305
0.00000,34B_305
0.00000,34B_305
0.08955,34B_306
0.00000,34B_306
0.73737,34B_306
1.01010,34B_306
0.73737,34B_306
0.00000,34B_306
0.85859,34B_306
1.01010,34B_306
1.01010,34B_306
1.01010,34B_306
1.01010,34B_306
0.22222,34B_306
0.39394,34B_306
0.00000,34B_306
0.75758,34B_306
1.01010,34B_306
1.01010,34B_306
0.58586,34B_306
0.00000,34B_306
0.00000,34B_306
0.00000,34B_306
0.24242,34B_306
0.38384,34B_306
0.86869,34B_306
0.16162,34B_306
0.00000,34B_306
0.00000,34B_306
1.50000,34B_327
0.03030,34B_327
0.16162,34B_327
0.25253,34B_327
0.00000,34B_327
0.00000,34B_327
0.31313,34B_327
1.01010,34B_327
1.01010,34B_327
0.93939,34B_327
0.01010,34B_327
0.00000,34B_327
0.20202,34B_327
0.00000,34B_327
0.96970,34B_327
1.01010,34B_327
1.01010,34B_327
0.71717,34B_327
0.00000,34B_327
0.00000,34B_327
0.84848,34B_327
0.55556,34B_327
0.00000,34B_327
0.00000,34B_327
0.00000,34B_327
0.88889,34B_327
1.01010,34B_327
1.01010,34B_327
0.95960,34B_327
0.00000,34B_327
0.00000,34B_327
0.31579,34B_338
0.20202,34B_338
1.01010,34B_338
0.56566,34B_338
0.00000,34B_338
0.00000,34B_338
0.00000,34B_338
0.00000,34B_338
0.09091,34B_338
0.90909,34B_338
1.01010,34B_338
1.01010,34B_338
0.81818,34B_338
0.00000,34B_338
0.00000,34B_338
0.00000,34B_338
0.77778,34B_338
0.00000,34B_338
0.00000,34B_338
0.00000,34B_338
0.21212,34B_338
1.01010,34B_338
1.01010,34B_338
1.01010,34B_338
0.24242,34B_338
0.00000,34B_338
0.00000,34B_338
0.10169,34B_355
0.00000,34B_355
0.00000,34B_355
0.00000,34B_355
0.00000,34B_355
0.62626,34B_355
1.01010,34B_355
1.01010,34B_355
1.01010,34B_355
0.58586,34B_355
0.00000,34B_355
0.00000,34B_355
0.00000,34B_355
0.00000,34B_355
0.00000,34B_355
0.00000,34B_355
0.00000,34B_355
